developer_researcher,stage_of_development,product_category,country_name,ioc_country_code,date_last_updated,anticipated_next_steps,funder
AbVision,Pre-clinical,Unknown,United States,USA,5/13/2020,Unknown,Unknown
AdaptVac (PREVENT-nCoV consortium),Phase I/II,Protein subunit,Denmark,DEN,5/14/2021,"Phase I/II (COUGH-1) study began March 2021, initial results expected to be released in July 2021; Pre-clinical data published January 2021",European Commission (Horizon 2020 Program)
Adeleke University,Pre-clinical,Unknown,Nigeria,NGR,6/30/2020,Unknown,Unknown
Adimmune Corporation,Phase I,Protein subunit,Chinese Taipei,TPE,9/2/2020,Phase I began end of August 2020; Phase II expected to begin November 2020,Unknown
"Aivita Biomedical, Inc./ National Institute of Health Research and Development, Ministry of Health Republic of Indonesia",Phase I,Replicating viral vector,Indonesia,INA,1/31/2021,Phase I/II expected to begin February 2021; Phase I began December 2020,Unknown
AJ Vaccines,Pre-clinical,Protein subunit,Denmark,DEN,Prior to 4/20/2020,Unknown,Unknown
"Anhui Zhifei Longcom Biopharmaceutical/ Institute of Microbiology, Chinese Academy of Sciences",Phase III,Protein subunit,China,CHN,4/30/2021,"China and Uzbekistan granted ""emergency use"" approval in March 2021; Phase III began December 2020; Phase I and II safety and immunogenicity data released December 2020; Phase II began July 2020; Received approval to launch clinical trials in China in June 2020",Unknown
Ankara University,Pre-clinical,Non-replicating viral vector,Turkey,TUR,7/9/2020,Unknown,Unknown
AnyGo Technology,Pre-clinical,Protein subunit,China,CHN,5/4/2020,Unknown,Unknown
"Applied Biotechnology Institute, Inc.",Pre-clinical,Protein subunit,United States,USA,5/12/2020,Unknown,Unknown
Arcturus/Duke-NUS/ Catalent,Phase II,RNA-based vaccine,United States,USA,8/3/2021,"Phase IIa of Phase I/II trial began recruiting January 2021; Received approval to proceed with Phase II study in Singapore (December 2020) and the US (January 2021); Phase I/II interim data released December 2020; Pre-clinical results released September and December 2020; Phase I/II began August 2020, initial results expected Q4 2020; Received approval to launch clinical trials in Singapore end of July 2020",Unknown
Arizona State University,Pre-clinical,Virus-like particle,United States,USA,2/12/2021,Unknown,Unknown
Arizona State University,Pre-clinical,Virus-like particle,United States,USA,2/12/2021,Unknown,Unknown
ARTES Biotechnology,Pre-clinical,Virus-like particle,Germany,GER,5/4/2020,Unknown,Unknown
AstraZeneca,Phase II/III,Non-replicating viral vector,Great Britain,GBR,7/29/2021,"Phase II/III dosed end of June 2021, in both previously vaccinated (with two doses of Vaxzevria or an mRNA vaccine) and unvaccinated adults to determine the safety and immunogenicity of AZD2816, a vaccine for the prevention of COVID-19 caused by variant strains of the SARS-CoV-2 virus",Unknown
Aurobindo,Pre-clinical,Replicating viral vector,India,IND,7/15/2020,Unknown,Unknown
Axon Neuroscience SE,Pre-clinical,Protein subunit,Slovakia,SVK,11/16/2020,Pre-clinical results released September 2020,Unknown
Baiya Phytopharm/ Chula Vaccine Research Center,Pre-clinical,Protein subunit,Thailand,THA,6/30/2021,Phase I expected to begin August 2021; Animal trial results announced September 2020,Unknown
Baylor College of Medicine,Pre-clinical,Protein subunit,United States,USA,Prior to 4/20/2020,Unknown,Unknown
Beijing Institute of Biological Products/ Sinopharm,Phase III,Inactivated virus,China,CHN,6/8/2021,"Vietnam granted approval on 6/4/2021; World Health Organization (WHO) granted Emergency Use Listing (EUL) on 5/7/2021; Indonesia granted ""emergency use"" approval on 4/30/2021; Hungary granted ""emergency use"" approval on 1/29/2021; Pakistan granted ""emergency use authorization"" on 1/18/2021; China ""granted conditional market approval"" on 12/31/2020; Midterm clinical results released on 12/30/2020; Bahrain National Health Regulatory Authority (NHRA) ""approved"" on 12/13/2020; UAE Ministry of Health and Prevention (MOHAP) announced ""official registration"" on 12/9/2020, following review of Phase III interim analysis; Phase I/II results published October 2020; Phase III trial began July 2020; Received early approval for ""emergency use"" in China (Aug 2020) and the UAE (Sep 2020)",Unknown
Bezmialem Vakif University,Pre-clinical,Virus-like particle,Turkey,TUR,7/21/2020,Unknown,Unknown
Bharat Biotech International Limited,Phase I,Non-replicating viral vector,India,IND,3/28/2021,Phase I began March 2021,Unknown
Bharat Biotech/ Indian Council of Medical Research/ National Institute of Virology/ Ocugen/ Precisa Medicamentos,Phase III,Inactivated virus,India,IND,7/6/2021,"Phase III efficacy analysis results announced on 7/2/2021; Phase III second interim analysis results announced on 4/21/2021; Authorized for ""emergency use"" in Nepal and Zimbabwe as of March 2021; Phase II interim analysis and Phase I follow-up results published 3/8/2021; Phase III interim analysis results announced 3/3/2021; Neutralization of UK-variant with vaccine-elicited sera announced January 2021; India granted ""permission for emergency use"" on 01/03/2021; Phase I and II safety and immunogenicity data released December 2020 and published January 2021; Phase III began November 2020; Phase I/II study: Phase I began July 2020 and Phase II began September 2020, initial results expected September 2020; Animal study results released September 2020",Unknown
Bharat Biotech/ Thomas Jefferson University,Pre-clinical,Non-replicating viral vector,India,IND,2/27/2021,Pre-clinical data published October 2020,Unknown
BiOCAD,Pre-clinical,RNA-based vaccine,Russia,RUS,Prior to 4/20/2020,Animal studies begin in April 2020,Unknown
BiOCAD/ IEM,Pre-clinical,Replicating viral vector,Russia,RUS,Prior to 4/20/2020,Unknown,Unknown
Biological E Ltd/ Dynavax/ Baylor College of Medicine,Phase I/II,Protein subunit,India,IND,4/28/2021,"Phase III clinical trial received approval to start by CDSCO in April 2021; CEPI partnership announced December 2020; Phase I/II began November 2020, interim data expected Q1 2021",Coalition for Epidemic Preparedness Innovations (CEPI)
BiOMVis Srl/ University of Trento,Pre-clinical,Protein subunit,Italy,ITA,5/12/2020,Unknown,Unknown
BioNet Asia/ Technovalia/ Vax4COVID/ The University of Sydney/ The University of Western Australia/ Telethon Kids Institute/ PharmaJet,Phase I,DNA-based,Australia,AUS,7/29/2021,Phase I dosed end of June 2021,Australian Government Medical Research Future Fund (MRFF)
BioNTech/ Pfizer/ Fosun Pharma/ Rentschler Biopharma,Authorized,RNA-based vaccine,Germany,GER,7/29/2021,"U.S. FDA granted Priority Review designation for the Biologics License Application (BLA) on 7/16/2021 and the Prescription Drug User Fee Act (PDUFA) goal date for a decision by the FDA is in January 2022; Vietnam granted ""emergency use"" approval on 6/12/2021; European Union expanded Conditional Marketing Authorization (CMA) to include individuals 12-15 years of age on 5/28/2021; U.S. FDA expanded Emergency Use Authorization (EUA) to include individuals 12-15 years of age on 5/10/2021; Announced initiation of Biologics License Application (BLA) with the U.S. FDA on 5/7/2021; Phase III updated topline results announced 4/1/2021; Phase III trial in adolescents (12-15 years) topline results announced 3/31/2021; Phase I/II/III continuous study in children 11 years to 6 month old dosed March 2021; Real-world data gathered by the Israel Ministry of Health announced on 3/11/2021; Evaluation of the safety and immunogenicity of a third dose (30 µg booster of the current vaccine) 6 to 12 months after receiving initial two-dose regimen began 2/25/2021; New stability data at standard freezer temperature was submitted to the U.S. FDA as of 2/19/2021; Phase II/III study in healthy pregnant women 18 years of age and older dosed 2/18/2021; Results from in vitro studies on neutralization of variants of SARS-CoV-2 by BNT162b2 vaccine-elicited sera announced January 2021; Phase I (China) preliminary safety and immunogenicity data released January 2021; World Health Organization (WHO) granted Emergency Use Listing (EUL) on 12/31/2021; Argentina authorized under ""emergency registration"" on 12/22/2020; European Commission granted a ""conditional marketing authorisation"" (CMA) on 12/21/2020, following European Medicines Agency (EMA) recommendation to grant CMA; U.S. FDA issued ""emergency use authorization"" on 12/11/2020; Mexico COFEPRIS granted ""emergency use authorization"" on 12/11/2020; Saudi Food and Drug Authority (SFDA) ""approved the registration"" of the vaccine on 12/10/2020; Health Canada ""authorized"" on 12/9/2020; Bahrain granted ""emergency use authorization"" on 12/4/2020; U.K. MHRA granted ""temporary authorization for emergency use"" on 12/2/2020; Submitted Emergency Use Authorization (EUA) request to the U.S. FDA on 11/20/2020; Phase III complete analysis results announced 11/18/2020, interim analysis results announced 11/09/2020; Phase I data published October 2020; FDA approved late-stage trial enrollment of children 12 years and older in October 2020; EMA rolling submission initiated on 10/6/2020; Study protocol for late-stage clinical trials released Sept 2020; Amended protocol to FDA to expand trial enrollment to 44,000 participants; Phase IIb/III trial began Jul 2020; FDA granted Fast Track designation for BNT162b1 and BNT162b2 in Jul 2020; Selected for US Operation Warp Speed in Jul 2020; Phase I/II began Apr 2020; preliminary data released Jul 2020, additional data published Aug, Sept, and Dec 2020; Pre-clinical data released Sept 2020 and Dec 2020",Unknown
Bogazici University,Pre-clinical,Protein subunit,Turkey,TUR,6/30/2021,Clinical trials expected to begin summer 2021,Unknown
CanSino Biologics/ Beijing Institute of Biotechnology/ Petrovax,Phase III,Non-replicating viral vector,Russia,RUS,6/14/2021,"Authorized for ""emergency use"" in Argentina, Chile, Hungary, Pakistan, and Mexico, and for ""conditional approval"" in China as of June 2021; Filed ""conditional marketing authorization"" with China's National Medical Products Administration (NMPA) on 2/24/2021; Phase III dosed September 2020; Phase II began April 2020, initial results released May 2020, mid-phase results released July 2020; China’s Central Military Commission ""approved the use of the vaccine by the military"" in June 2020",Unknown
"CanSino Biologics/ Institute of Biotechnology, Academy of Military Medical Sciences, PLA of China",Pre-clinical,Non-replicating viral vector,China,CHN,11/2/2020,Phase I recruitment began end of September 2020,Unknown
CanSino Biologics/Precision Nanosystems,Pre-clinical,RNA-based vaccine,China,CHN,5/21/2020,Unknown,Unknown
"Catholic University/ Millennium Institute of Immunology and Immunotherapy/ Technological Consortium in Clinical Molecular Biomedicine, Chile",Pre-clinical,Unknown,Chile,CHI,4/23/2020,Unknown,Unknown
"Cellid Co., Ltd./IAVI",Phase I/II,Replicating viral vector,South Korea,KOR,3/22/2021,Phase IIa is expected to be dosed in early April 2021; Phase I/IIa trial began December 2020,Unknown
"Center for Genetic Engineering and Biotechnology (CIGB), Havana",Phase III,Protein subunit,Cuba,CUB,6/2/2021,"Cuba began rolling out the vaccine in a mass campaign in May 2021; Phase III began March 2021; Phase II began February 2021, Phase I (ABDALA) trial began December 2020",Unknown
"Center for Genetic Engineering and Biotechnology (CIGB), Havana",Phase I/II,Protein subunit,Cuba,CUB,1/31/2021,Phase I of Phase I/II (MAMBISA) trial began December 2020,Unknown
"Centro Nacional Biotecnologia (CNB-CSIC), Spain",Pre-clinical,Non-replicating viral vector,Spain,ESP,Prior to 4/20/2020,Unknown,Unknown
"Centro Nacional Biotecnologia (CNB-CSIC), Spain",Pre-clinical,RNA-based vaccine,Spain,ESP,Prior to 4/20/2020,Unknown,Unknown
Chimeron Bio/ George Mason University's National Center for Biodefense and Infectious  Disease,Pre-clinical,RNA-based vaccine,United States,USA,6/17/2020,Unknown,Unknown
China CDC / Tongji University / Stermina,Pre-clinical,RNA-based vaccine,China,CHN,Prior to 4/20/2020,Unknown,Unknown
Chula Vaccine Research Center,Pre-clinical,DNA-based,Thailand,THA,9/23/2020,Unknown,Unknown
Chulalongkorn University/ Chula Vaccine Research Center/University of Pennsylvania,Phase I,RNA-based vaccine,Thailand,THA,7/29/2021,Phase II expected to begin August 2021; Phase I began June 2021,Unknown
"Chulalongkorn University/ GPO, Thailand",Pre-clinical,Protein subunit,Thailand,THA,6/1/2020,Unknown,Unknown
Chumakov Federal Scientific Center for Research and Development of Immune and Biological Products of the Russian Academy of Sciences,Phase III,Inactivated virus,United States,USA,6/8/2021,"Phase III began March 2021; Russia ""registered"" the vaccine in February 2021; Clinical trials began Ocotober 2020",Unknown
City of Hope Medical Center,Phase I,Non-replicating viral vector,United States,USA,8/3/2021,Phase II expected to begin August 2021; Phase I dosed December 2020,Unknown
Clover Biopharmaceuticals Inc./ Dynavax,Phase II/III,Protein subunit,India,IND,7/6/2021,"Phase II/III (SPECTRA) trial with Dynavax adjuvant dosed March 2021, fully enrolled as of July 2021; Clover and GSK discontinued their partnership as of February 2021; Phase I safety and immunogenicity data released December 2020 and published January 2021; Phase II/III trial with Dynavax adjuvant expected to begin during first half of 2021; Phase II/III trial with GSK adjuvant is not expected to move forward; Pre-clinical results released September 2020; CEPI partnership expanded in July and November 2020, Phase I trial began June 2020, preliminary results expected in the near future",Coalition for Epidemic Preparedness (CEPI)
Codagenix / Serum Institute of India,Phase I,Live attenuated virus,United States,USA,7/19/2021,"Pre-clinical research published June 2021; Phase I trial dosed January 2021, initial data expected by mid-2021; Phase I recruitment began December 2020",Unknown
Codiak BioSciences/ Ragon Institute,Pre-clinical,Unknown,United States,USA,6/4/2020,Unknown,Unknown
CureVac/Bayer/Novartis,Phase III,RNA-based vaccine,Germany,GER,7/6/2021,"Phase IIb/III final analysis results released 6/30/2021; Phase IIb/III second interim analysis results released 6/16/2021; Initiated rolling submission with Swissmedic on 4/19/2021; Initiated rolling submission with European Medicines Agency (EMA) on 2/12/2021; Phase III trial began December 2020; Phase IIb/III (HERALD) trial began recruiting December 2020; Phase IIa trial began end of September 2020; Phase I trial began June 2020, interim results reported November 2020; Pre-clinical data released October 2020",Coalition for Epidemic Preparedness (CEPI); European Commission; Gates Foundation; Defense Advanced Research Projects Agency (DARPA); German Government; European Investment Bank (EIB); German Federal Ministry of Education and Research (BMBF)
CureVac/UK Government (Vaccines Taskforce),Pre-clinical,RNA-based vaccine,Germany,GER,2/5/2021,Collaboration to develop and manufacture variant vaccines for commercial supply and distribution in the UK and its territories was entered in February 2021,Unknown
Daiichi-Sankyo/ University of Tokyo's Institute of Medical Science,Phase I/II,RNA-based vaccine,Japan,JAP,3/22/2021,Phase I/II clinical trial began March 2021,Unknown
Doherty Institute,Pre-clinical,Virus-like particle,Australia,AUS,7/8/2020,Unknown,Unknown
DZIF - German Center for Infection Research/ CanVirex AG,Pre-clinical,Replicating viral vector,Germany,GER,6/30/2020,Unknown,Unknown
Ege University Drug Development and Pharmacokinetic Research Application Center (ARGEFAR)/ Scientific and Technological Research Council of Turkey (TUBITAK),Pre-clinical,DNA-based,Turkey,TUR,9/23/2020,Unknown,Unknown
Elixirgen Therapeutics/ Fujita Health University,Phase I/II,RNA-based vaccine,United States,USA,5/25/2021,Phase I/II began at Fujita Health University Hospital in May 2021,Japan Agency for Medical Research and Development (AMED)
Emergex Vaccines/ George Mason University's National Center for Biodefense and Infectious Diseases (NCBID),Pre-clinical,Unknown,United States,USA,4/24/2020,Unknown,Unknown
Entos Pharmaceuticals/ Cytiva,Phase I/II,DNA-based,Canada,CAN,5/31/2021,Phase I/II began April 2021,Canadian Institutes of Health Research (CIHR)/ Research Nova Scotia (RNS)/ Institute for Ageing (IA)/ National Research Council of Canada Industrial Research Assistance Program (NRC IRAP)
EpiVax,Pre-clinical,Protein subunit,United States,USA,5/27/2020,Unknown,Unknown
EpiVax / University of Georgia,Pre-clinical,Protein subunit,United States,USA,Prior to 4/20/2020,Unknown,Unknown
Erciyes University,Phase III,Inactivated virus,Turkey,TUR,6/30/2021,"Phase III began June 2021; Phase II dosed February 2021; Phase I began November 2020, completed on December 14, 2020",Unknown
Erciyes University,Pre-clinical,Non-replicating viral vector,Turkey,TUR,8/3/2020,Unknown,Unknown
eTheRNA Immunotherapies / EpiVax/ Nexelis/ REPROCELL / Centre for the Evaluation of Vaccination of the University of Antwerp,Pre-clinical,RNA-based vaccine,Belgium,BEL,5/4/2020,Start Phase I early 2021,Unknown
ExpreS2ion,Pre-clinical,Protein subunit,Sweden,SWE,Prior to 4/20/2020,Unknown,Unknown
Farmacológicos Veterinarios SAC (FARVET SAC),Pre-clinical,Replicating viral vector,Peru,PER,6/30/2021,Pre-clinical results released March 2021,Unknown
Farmacológicos Veterinarios SAC (FARVET SAC),Pre-clinical,Replicating viral vector,Peru,PER,6/30/2021,Pre-clinical results released March 2021,Unknown
Farmacológicos Veterinarios SAC (FARVET SAC),Pre-clinical,Replicating bacterial vector,Peru,PER,1/19/2021,Unknown,Unknown
Farmacológicos Veterinarios SAC (FARVET SAC) / Universidad Peruana Cayetano Heredia (UPCH),Pre-clinical,Protein subunit,Peru,PER,1/19/2021,Unknown,Unknown
"Federal Budgetary Research Institution (FBRI) State Research Center of Virology and Biotechnology ""VECTOR""",Phase III,Protein subunit,Russia,RUS,3/29/2021,"Phase I/II interim results published March 2021; Phase III trial began November 2020; ""Registered"" for use in Russia in October 2020; Phase I/II trial began end of July 2020",Unknown
"Federal Budgetary Research Institution (FBRI) State Research Center of Virology and Biotechnology ""VECTOR""",Pre-clinical,Protein subunit,Russia,RUS,8/31/2020,Unknown,Unknown
"Federal Budgetary Research Institution (FBRI) State Research Center of Virology and Biotechnology ""VECTOR""",Pre-clinical,Replicating viral vector,Russia,RUS,8/31/2020,Unknown,Unknown
"Federal Budgetary Research Institution (FBRI) State Research Center of Virology and Biotechnology ""VECTOR""",Pre-clinical,Replicating viral vector,Russia,RUS,8/31/2020,Unknown,Unknown
"Federal Budgetary Research Institution (FBRI) State Research Center of Virology and Biotechnology ""VECTOR""",Pre-clinical,Replicating viral vector,Russia,RUS,8/31/2020,Unknown,Unknown
"Federal Budgetary Research Institution (FBRI) State Research Center of Virology and Biotechnology ""VECTOR""",Pre-clinical,RNA-based vaccine,Russia,RUS,8/31/2020,Unknown,Unknown
Flow Pharma,Pre-clinical,Protein subunit,United States,USA,6/30/2021,Pre-clinical study results published May 2021,Unknown
Fudan University / Shanghai JiaoTong University / RNACure Biopharma,Pre-clinical,RNA-based vaccine,China,CHN,Prior to 4/20/2020,Unknown,Unknown
Fudan University / Shanghai JiaoTong University / RNACure Biopharma,Pre-clinical,RNA-based vaccine,China,CHN,Prior to 4/20/2020,Unknown,Unknown
Fundacao Oswaldo Cruz and Instituto Buntantan,Pre-clinical,Replicating viral vector,Brazil,BRA,5/27/2020,Unknown,Unknown
Gamaleya Research Institute,Phase III,Non-replicating viral vector,Russia,RUS,7/29/2021,"Final results of trials are expected to be ready by October 2021; Demonstrated efficacy based on the analysis of data from vaccinated persons announced on 4/19/2021; Started rolling review process with the European Medicines Agency (EMA) on 3/4/2021; Authorized for ""emergency use"" in 39 countries as of March 2021; Phase III interim analysis results published on 2/2/2021; ""Registered"" in Belarus in December 2020; Phase III final control point data analysis results released December 2020, interim data analysis results released November 2020; Phase III (post-registration) trial began September 2020; Phase I/2 began June 2020, results published September 2020; Russian Ministry of Health ""registered"" vaccine in August 2020, Mass production expected to begin September 2020",Russian Direct Investment Fund (RDIF)
"GeneOne
  Life Science",Phase I/II,DNA-based,South Korea,KOR,7/19/2021,Phase IIa expected to be dosed July 2021; Phase I/IIa began December 2020,Unknown
GeneOne Life Science / Houston Methodist,Pre-clinical,RNA-based vaccine,South Korea,KOR,1/5/2021,Unknown,Unknown
Generex / EpiVax,Pre-clinical,Protein subunit,United States,USA,6/30/2021,Unknown,"Beijing Youfeng Biological Technology, Ltd (Youfeng-BI)"
"Genexine Consortium (GenNBio, International Vaccine Institute, Korea Advanced Institute of Science and Technology (KAIST), Pohang University of Science and Technology (POSTECH)/ Binex/ PT Kalbe Pharma",Phase I/II,DNA-based,South Korea,KOR,7/19/2021,Phase II/III study expected to begin in Indonesia as of July 2021; Phase IIa began February 2021; Updated development plan to GX-19N formula and will reconduct Phase I/IIa study as of December 2020. Phase I of Phase I/IIa study began end of June 2020; Animal study results announced August 2020,Unknown
Gennova/ HDT Biotech Corporation,Phase I/II,RNA-based vaccine,India,IND,6/30/2021,Phase I/II began April 2021,Unknown
GeoVax / BravoVax/ NIAID/ NIH/ University of Texas Medical Branch,Pre-clinical,Non-replicating viral vector,United States,USA,1/25/2021,"Awarded a Small Business Innovative Research (SBIR) grant in January 2021 to support the ongoing design, construction, and preclinical testing in preparation for human clinical trials",National Institute of Allergy and Infectious Diseases (NIAID)/National Institutes of Health (NIH)
